iter	Passed	Remaining
0	173	173429
1	175	87604
2	176	58699
3	177	44177
4	178	35458
5	179	29669
6	180	25605
7	181	22525
8	182	20100
9	183	18137
10	183	16542
11	184	15206
12	185	14077
13	186	13106
14	187	12290
15	188	11590
16	189	10948
17	190	10380
18	191	9877
19	192	9424
20	193	9007
21	194	8640
22	195	8295
23	196	7973
24	196	7679
25	197	7403
26	198	7150
27	199	6912
28	199	6691
29	200	6487
30	201	6305
31	202	6138
32	203	5973
33	204	5815
34	205	5668
35	206	5527
36	207	5392
37	208	5271
38	209	5152
39	210	5044
40	210	4934
41	211	4825
42	212	4721
43	212	4623
44	213	4528
45	214	4439
46	214	4356
47	216	4294
48	217	4228
49	218	4157
50	219	4084
51	220	4014
52	220	3946
53	221	3884
54	222	3821
55	223	3764
56	224	3718
57	225	3668
58	226	3617
59	227	3565
60	228	3514
61	229	3467
62	230	3423
63	231	3382
64	232	3338
65	232	3295
66	233	3254
67	234	3213
68	235	3171
69	235	3131
70	236	3091
71	236	3053
72	237	3019
73	238	2986
74	240	2960
75	240	2929
76	241	2897
77	242	2867
78	243	2839
79	244	2809
80	245	2784
81	246	2757
82	246	2726
83	247	2699
84	248	2672
85	248	2646
86	249	2620
87	250	2594
88	251	2570
89	251	2546
90	252	2524
91	253	2503
92	254	2484
93	255	2463
94	256	2440
95	256	2418
96	257	2398
97	258	2379
98	259	2364
99	260	2345
100	261	2327
101	262	2309
102	263	2290
103	263	2271
104	264	2252
105	264	2234
106	265	2216
107	266	2198
108	266	2180
109	267	2165
110	268	2153
111	269	2138
112	270	2122
113	271	2107
114	271	2091
115	272	2077
116	273	2063
117	274	2051
118	275	2038
119	276	2025
120	276	2011
121	277	1996
122	278	1982
123	278	1968
124	279	1955
125	279	1942
126	280	1928
127	281	1915
128	281	1903
129	282	1892
130	283	1883
131	284	1872
132	285	1861
133	286	1849
134	286	1838
135	287	1828
136	288	1817
137	289	1809
138	290	1799
139	291	1789
140	292	1779
141	292	1767
142	293	1756
143	293	1746
144	294	1735
145	295	1725
146	295	1715
147	296	1706
148	297	1696
149	297	1688
150	299	1683
151	300	1675
152	300	1665
153	301	1656
154	302	1647
155	303	1639
156	304	1632
157	305	1626
158	306	1620
159	307	1613
160	307	1604
161	308	1597
162	309	1589
163	310	1581
164	310	1573
165	311	1565
166	312	1559
167	313	1554
168	314	1547
169	315	1539
170	316	1532
171	316	1525
172	317	1517
173	318	1510
174	318	1503
175	319	1496
176	320	1489
177	321	1482
178	321	1476
179	322	1469
180	323	1464
181	324	1457
182	325	1452
183	326	1447
184	327	1442
185	328	1437
186	329	1431
187	330	1426
188	330	1420
189	331	1413
190	332	1407
191	333	1401
192	334	1396
193	335	1392
194	336	1387
195	336	1382
196	337	1376
197	338	1370
198	338	1364
199	339	1358
200	340	1352
201	340	1346
202	341	1340
203	342	1336
204	343	1332
205	344	1327
206	345	1322
207	345	1317
208	346	1311
209	347	1307
210	348	1301
211	348	1296
212	349	1292
213	350	1288
214	351	1283
215	352	1278
216	353	1273
217	353	1269
218	354	1263
219	354	1258
220	355	1253
221	358	1256
222	359	1254
223	360	1250
224	361	1245
